Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
BLUT3;5.14;-5.63;0.46;0;0;0.138;-0.76;-42.93;-0.2;-53.97;-53.97;0;0;0;-0.0033;-0.0824;3091.81;56569000;0.12;0.1594
BRKM5;22.85;-5.36;2.52;0.223;0;0.207;1.62;-12.25;-0.39;-27.02;10.99;-0.0182;-0.0476;1.49;-0.0246;-0.47;85886300;7232560000;5.19;-0.0711
SEER3;6.58;-5.24;0.68;0.481;0;0.243;4.25;4.24;-0.58;6.83;3.17;0.1134;-0.0917;1.34;0.0617;-0.1303;10625700;1240560000;0.59;0.1594
MBLY3;3.7;-5.2;0.76;0.646;0;0.484;1.22;-4.7;2.55;-4.83;-28.04;-0.1373;-0.1242;3.49;-0.1432;-0.147;8670310;515451000;0.34;0.0928
BIOM3;5.4;-4.95;3.63;3.595;0;1.282;9.4;-6.35;-4.58;-7.94;-7.9;-0.5659;-0.7257;1.59;-0.2543;-0.7328;93106.2;120928000;1.32;11.938
BRPR3;660;-4.8;0.16;1.933;0;0.089;0.45;6.63;0.52;29.27;27.75;0.2917;-0.4177;1.46;0.0141;-0.0343;8056500;1860360000;0.65;-0.1685
NORD3;5.45;-4.73;-0.23;17.802;0;1.965;-0.23;-104.29;-0.21;-213.92;-213.92;-0.1707;-37.657;0.01;-0.0192;0.0489;377.19;-156237000;-0.24;0.1429
AZEV4;2.34;-4.56;1.83;0.409;0;0.355;-3.25;-1.94;-0.91;-2.31;-3.53;-0.2112;-0.0898;0.79;-0.2164;-0.4011;6246700;119223000;0.43;76.166
BRFS3;8.93;-4.38;1.64;0.277;0;0.277;6.64;115.45;-0.73;237.71;9.52;0.0024;-0.0637;1.1;0.0039;-0.3745;191341000;9152650000;2.6;0.1703
AZEV3;2.25;-4.38;1.76;0.393;0;0.341;-3.12;-1.86;-0.88;-2.24;-3.42;-0.2112;-0.0898;0.79;-0.2164;-0.4011;2602160;119223000;0.43;76.166
AGXY3;4.91;-4.27;0.79;0.076;0.0081;0.096;1.72;1.76;-1.14;3.72;2.93;0.0429;-0.0169;1.08;0.126;-0.1862;351911;1055090000;2;0.6016
